token_type,token_address,receiver,amount
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0xb53b0255895c4f9e3a185e484e5b674bccfbc076,311.9621981
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0x7326b0d5ba05bb1db17298a0283ab1d3269adeb2,122.4064488
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0x4c81e51aa103490838fd9db1d859a5fcd8276324,128.5399447
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0x78ec73423b222cb225549bab0d0a812d58808ffd,116.9368931
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0xeb4e3e9fa819e69e5df4ea35b9c7973062c96de9,159.6143703
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0x4cbf20d7393f372d7947338336b5043081871116,74.98163442
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0x28ede9352a5f76daec81cfc65d7246f6665f5fa3,13.94637189
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0x89bf9baaee2d451477cf850fe4c0d89bb796b1ad,61.08829056
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0x2bf034eccebc8cd60dab9c249b6c2996dcb7d8ec,53.66401634
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0x2a8fe25896fcce82c49c2db923abfa4198ad3394,53.66401634
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0x29185eb8cfd22aa719529217bfbade61677e0ad2,65.4567629
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0x091fcbb9186f392610740038ea5b8007fe7674e4,82.47238062
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0xed2aeaeac44036a35e36ccd7397d44ea70bdd73e,70.12281588
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0x841c11b14c428dd591093348b8afa2652c863988,97.58995125
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0x73bea65145f19702da07d8908e994a193b5855a1,71.04548451
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0xa82bcd1ba56b4bb0f46bc29da53413c73be27509,90.98932182
erc20,0xEAeCC18198a475c921B24b8A6c1C1f0f5F3F7EA0,0xfad763da9051953fea58c2304395719a3b6ba361,16.55497549
